pu_code,fin_year,pu_price,start_date,end_date
AH01001,2001/02,25.28,2001-01-07,2002-06-30
AH01001,2002/03,26.69,2002-01-07,2003-06-30
AH01001,2003/04,27.82,2003-01-07,2004-06-30
AH01001,2004/05,28.55,2004-01-07,2005-06-30
AH01001,2005/06,29.22,2005-01-07,2006-06-30
AH01001,2006/07,77.65,2006-01-07,2007-06-30
AH01001,2007/08,118.78,2007-01-07,2008-06-30
AH01001,2008/09,152.05,2008-01-07,2009-06-30
AH01001,2009/10,139.96,2009-01-07,2010-06-30
AH01001,2010/11,114.99,2010-01-07,2011-06-30
AH01001,2011/12,122.89,2011-01-07,2012-06-30
AH01001,2012/13,117.61,2012-01-07,2013-06-30
AH01001,2013/14,118.66,2013-01-07,2014-06-30
AH01001,2014/15,120.31,2014-01-07,2015-06-30
AH01001,2015/16,149.17,2015-01-07,2016-06-30
AH01001,2016/17,151.3,2016-01-07,2017-06-30
AH01003,2001/02,25.28,2001-01-07,2002-06-30
AH01003,2002/03,26.69,2002-01-07,2003-06-30
AH01003,2003/04,27.82,2003-01-07,2004-06-30
AH01003,2004/05,28.55,2004-01-07,2005-06-30
AH01003,2005/06,29.22,2005-01-07,2006-06-30
AH01003,2006/07,93.58,2006-01-07,2007-06-30
AH01003,2007/08,104.49,2007-01-07,2008-06-30
AH01003,2008/09,105.06,2008-01-07,2009-06-30
AH01003,2009/10,133.42,2009-01-07,2010-06-30
AH01003,2010/11,139.85,2010-01-07,2011-06-30
AH01003,2011/12,155.08,2011-01-07,2012-06-30
AH01003,2012/13,148.42,2012-01-07,2013-06-30
AH01003,2013/14,149.74,2013-01-07,2014-06-30
AH01003,2014/15,151.81,2014-01-07,2015-06-30
AH01003,2015/16,183.45,2015-01-07,2016-06-30
AH01003,2016/17,162.27,2016-01-07,2017-06-30
AH01004,2001/02,25.83,2001-01-07,2002-06-30
AH01004,2002/03,27.27,2002-01-07,2003-06-30
AH01004,2003/04,28.43,2003-01-07,2004-06-30
AH01004,2004/05,29.18,2004-01-07,2005-06-30
AH01004,2005/06,29.86,2005-01-07,2006-06-30
AH01004,2006/07,71.88,2006-01-07,2007-06-30
AH01004,2007/08,76.98,2007-01-07,2008-06-30
AH01004,2008/09,131.79,2008-01-07,2009-06-30
AH01004,2009/10,143.1,2009-01-07,2010-06-30
AH01004,2010/11,192.76,2010-01-07,2011-06-30
AH01004,2011/12,169.04,2011-01-07,2012-06-30
AH01004,2012/13,161.79,2012-01-07,2013-06-30
AH01004,2013/14,163.23,2013-01-07,2014-06-30
AH01004,2014/15,165.49,2014-01-07,2015-06-30
AH01004,2015/16,153.69,2015-01-07,2016-06-30
AH01004,2016/17,125.88,2016-01-07,2017-06-30
AH01005,2001/02,21.37,2001-01-07,2002-06-30
AH01005,2002/03,22.56,2002-01-07,2003-06-30
AH01005,2003/04,23.52,2003-01-07,2004-06-30
AH01005,2004/05,24.14,2004-01-07,2005-06-30
AH01005,2005/06,24.7,2005-01-07,2006-06-30
AH01005,2006/07,51.3,2006-01-07,2007-06-30
AH01005,2007/08,54.94,2007-01-07,2008-06-30
AH01005,2008/09,55.23,2008-01-07,2009-06-30
AH01005,2009/10,73.73,2009-01-07,2010-06-30
AH01005,2010/11,72.29,2010-01-07,2011-06-30
AH01005,2011/12,85.77,2011-01-07,2012-06-30
AH01005,2012/13,82.08,2012-01-07,2013-06-30
AH01005,2013/14,82.81,2013-01-07,2014-06-30
AH01005,2014/15,83.96,2014-01-07,2015-06-30
AH01005,2015/16,97.9,2015-01-07,2016-06-30
AH01005,2016/17,102.94,2016-01-07,2017-06-30
AH01006,2001/02,25.28,2001-01-07,2002-06-30
AH01006,2002/03,26.69,2002-01-07,2003-06-30
AH01006,2003/04,27.82,2003-01-07,2004-06-30
AH01006,2004/05,28.55,2004-01-07,2005-06-30
AH01006,2005/06,29.22,2005-01-07,2006-06-30
AH01006,2006/07,56.31,2006-01-07,2007-06-30
AH01006,2007/08,60.3,2007-01-07,2008-06-30
AH01006,2008/09,75.05,2008-01-07,2009-06-30
AH01006,2009/10,91.9,2009-01-07,2010-06-30
AH01006,2010/11,132.22,2010-01-07,2011-06-30
AH01006,2011/12,149.12,2011-01-07,2012-06-30
AH01006,2012/13,142.71,2012-01-07,2013-06-30
AH01006,2013/14,143.98,2013-01-07,2014-06-30
AH01006,2014/15,145.98,2014-01-07,2015-06-30
AH01006,2015/16,169.24,2015-01-07,2016-06-30
AH01006,2016/17,191.95,2016-01-07,2017-06-30
AH01007,2001/02,25.28,2001-01-07,2002-06-30
AH01007,2002/03,26.69,2002-01-07,2003-06-30
AH01007,2003/04,27.82,2003-01-07,2004-06-30
AH01007,2004/05,28.55,2004-01-07,2005-06-30
AH01007,2005/06,29.22,2005-01-07,2006-06-30
AH01007,2006/07,114.99,2006-01-07,2007-06-30
AH01007,2007/08,105.28,2007-01-07,2008-06-30
AH01007,2008/09,105.85,2008-01-07,2009-06-30
AH01007,2009/10,126.72,2009-01-07,2010-06-30
AH01007,2010/11,146.46,2010-01-07,2011-06-30
AH01007,2011/12,173.77,2011-01-07,2012-06-30
AH01007,2012/13,166.31,2012-01-07,2013-06-30
AH01007,2013/14,167.79,2013-01-07,2014-06-30
AH01007,2014/15,170.11,2014-01-07,2015-06-30
AH01007,2015/16,167.11,2015-01-07,2016-06-30
AH01007,2016/17,175.87,2016-01-07,2017-06-30
AH01008,2001/02,25.28,2001-01-07,2002-06-30
AH01008,2002/03,26.69,2002-01-07,2003-06-30
AH01008,2003/04,27.82,2003-01-07,2004-06-30
AH01008,2004/05,28.55,2004-01-07,2005-06-30
AH01008,2005/06,29.22,2005-01-07,2006-06-30
AH01008,2006/07,93.92,2006-01-07,2007-06-30
AH01008,2007/08,134.46,2007-01-07,2008-06-30
AH01008,2008/09,139.27,2008-01-07,2009-06-30
AH01008,2009/10,154.58,2009-01-07,2010-06-30
AH01008,2010/11,157.33,2010-01-07,2011-06-30
AH01008,2011/12,164.76,2011-01-07,2012-06-30
AH01008,2012/13,157.68,2012-01-07,2013-06-30
AH01008,2013/14,159.09,2013-01-07,2014-06-30
AH01008,2014/15,161.29,2014-01-07,2015-06-30
AH01008,2015/16,161.5,2015-01-07,2016-06-30
AH01008,2016/17,164.46,2016-01-07,2017-06-30
AH01009,2001/02,0,2001-01-07,2002-06-30
AH01009,2002/03,0,2002-01-07,2003-06-30
AH01009,2003/04,0,2003-01-07,2004-06-30
AH01009,2004/05,0,2004-01-07,2005-06-30
AH01009,2005/06,0,2005-01-07,2006-06-30
AH01009,2006/07,0,2006-01-07,2007-06-30
AH01009,2007/08,0,2007-01-07,2008-06-30
AH01009,2008/09,0,2008-01-07,2009-06-30
AH01009,2009/10,0,2009-01-07,2010-06-30
AH01009,2010/11,0,2010-01-07,2011-06-30
AH01009,2011/12,0,2011-01-07,2012-06-30
AH01009,2012/13,0,2012-01-07,2013-06-30
AH01009,2013/14,0,2013-01-07,2014-06-30
AH01009,2014/15,0,2014-01-07,2015-06-30
AH01009,2015/16,386.61,2015-01-07,2016-06-30
AH01009,2016/17,391.54,2016-01-07,2017-06-30
AH01010,2001/02,0,2001-01-07,2002-06-30
AH01010,2002/03,0,2002-01-07,2003-06-30
AH01010,2003/04,0,2003-01-07,2004-06-30
AH01010,2004/05,0,2004-01-07,2005-06-30
AH01010,2005/06,0,2005-01-07,2006-06-30
AH01010,2006/07,0,2006-01-07,2007-06-30
AH01010,2007/08,0,2007-01-07,2008-06-30
AH01010,2008/09,0,2008-01-07,2009-06-30
AH01010,2009/10,0,2009-01-07,2010-06-30
AH01010,2010/11,0,2010-01-07,2011-06-30
