cal_year,start_date,end_date
2009,2009-01-01,2009-12-31
2010,2010-01-01,2010-12-31
2011,2011-01-01,2011-12-31
2012,2012-01-01,2012-12-31
2013,2013-01-01,2013-12-31
2014,2014-01-01,2014-12-31
2015,2015-01-01,2015-12-31
2016,2016-01-01,2016-12-31
2017,2017-01-01,2017-12-31
2018,2018-01-01,2018-12-31
2019,2019-01-01,2019-12-31
2020,2020-01-01,2020-12-31
2021,2021-01-01,2021-12-31
2022,2022-01-01,2022-12-31
2023,2023-01-01,2023-12-31
2024,2024-01-01,2024-12-31
2025,2025-01-01,2025-12-31
2026,2026-01-01,2026-12-31
2027,2027-01-01,2027-12-31
2028,2028-01-01,2028-12-31
2029,2029-01-01,2029-12-31
2030,2030-01-01,2030-12-31
2031,2031-01-01,2031-12-31
2032,2032-01-01,2032-12-31
2033,2033-01-01,2033-12-31
2034,2034-01-01,2034-12-31
2035,2035-01-01,2035-12-31
2036,2036-01-01,2036-12-31
2037,2037-01-01,2037-12-31
2038,2038-01-01,2038-12-31
2039,2039-01-01,2039-12-31
2040,2040-01-01,2040-12-31
2041,2041-01-01,2041-12-31
2042,2042-01-01,2042-12-31
2043,2043-01-01,2043-12-31
2044,2044-01-01,2044-12-31
2045,2045-01-01,2045-12-31
2046,2046-01-01,2046-12-31
2047,2047-01-01,2047-12-31
2048,2048-01-01,2048-12-31
2049,2049-01-01,2049-12-31
2050,2050-01-01,2050-12-31
