cal_year,cpi_adj_2024,cpi_adj,cpi_2024
1914,296.7435138,4.2899,1273
1915,365.6732496,3.48125,1273
1916,338.7485198,3.75795,1273
1917,308.6266357,4.124725,1273
1918,274.763521,4.633075,1273
1919,127.714113,9.967575,1273
1920,112.3709566,11.32855,1273
1921,108.7871472,11.70175,1273
1922,122.1167544,10.42445,1273
1923,125.4066728,10.150975,1273
1924,122.7612111,10.369725,1273
1925,81.36108856,15.6463,1273
1926,60.73973168,20.958275,1273
1927,61.23798872,20.78775,1273
1928,61.190744,20.8038,1273
1929,61.36477575,20.7448,1273
1930,62.60619816,20.33345,1273
1931,67.87523327,18.755,1273
1932,73.62467034,17.2904,1273
1933,77.13386786,16.503775,1273
1934,76.0841468,16.731475,1273
1935,73.33942095,17.35765,1273
1936,71.31922356,17.849325,1273
1937,66.64319584,19.101725,1273
1938,64.74870458,19.660625,1273
1939,61.91287939,20.56115,1273
1940,59.44417594,21.41505,1273
1941,57.31129872,22.212025,1273
1942,55.50087578,22.936575,1273
1943,54.18058777,23.4955,1273
1944,53.25396136,23.904325,1273
1945,52.53741692,24.23035,1273
1946,52.13655436,24.41665,1273
1947,50.47821467,25.2188,1273
1948,46.81769326,27.190575,1273
1949,46.05485701,27.64095,1273
1950,43.57071042,29.216875,1273
1951,39.24494332,32.4373,1273
1952,36.42137789,34.952,1273
1953,34.84349168,36.5348,1273
1954,33.30684223,38.220375,1273
1955,32.49133639,39.179675,1273
1956,31.39680643,40.545525,1273
1957,30.72845508,41.4274,1273
1958,29.42027838,43.269475,1273
1959,28.33584769,44.925425,1273
1960,28.13946831,45.23895,1273
1961,27.64252976,46.052225,1273
1962,26.92083203,47.2868,1273
1963,26.40113444,48.217625,1273
1964,25.51452454,49.89315,1273
1965,24.67614976,51.588275,1273
1966,24.01443885,53.009775,1273
1967,22.64297603,56.220525,1273
1968,21.70698217,58.644725,1273
1969,20.68804404,61.533125,1273
1970,19.42225282,65.543375,1273
1971,17.59461077,72.3517,1273
1972,16.45388953,77.367725,1273
1973,15.21160623,83.6861,1273
1974,13.69065992,92.9831,1273
1975,11.93762241,106.63765,1273
1976,10.21122517,124.666725,1273
1977,8.927179844,142.598225,1273
1978,7.973784851,159.64815,1273
1979,7.013028367,181.5193,1273
1980,5.986338639,212.65085,1273
1981,5.188810227,245.335625,1273
1982,4.466808899,284.990925,1273
1983,4.16132268,305.91235,1273
1984,3.919444184,324.79095,1273
1985,3.395879222,374.8661,1273
1986,2.999538111,424.398675,1273
1987,2.591521369,491.21725,1273
1988,2.43620709,522.533575,1273
1989,2.30448293,552.401575,1273
1990,2.1720234,586.08945,1273
1991,2.1169325,601.3418,1273
1992,2.095670658,607.442775,1273
1993,2.069017415,615.2679,1273
1994,2.033524724,626.00665,1273
1995,1.959930506,649.512825,1273
1996,1.916133126,664.35885,1273
1997,1.89365266,672.245775,1273
1998,1.869992757,680.7513,1273
1999,1.872131919,679.97345,1273
2000,1.824419148,697.756325,1273
2001,1.777738862,716.078175,1273
2002,1.731388063,735.248225,1273
2003,1.701550172,748.141325,1273
2004,1.663452847,765.275675,1273
2005,1.614422564,788.517225,1273
2006,1.561859657,815.054025,1273
2007,1.525609004,834.420875,1273
2008,1.467510987,867.455175,1273
2009,1.437106821,885.8075,1273
2010,1.404768671,906.199025,1273
2011,1.350376829,942.699825,1273
2012,1.336214048,952.691675,1273
2013,1.321225833,963.499175,1273
2014,1.305204284,975.32625,1273
2015,1.301395041,978.181075,1273
2016,1.293038936,984.50245,1273
2017,1.269542401,1002.7235,1273
2018,1.249570552,1018.75,1273
2019,1.229654673,1035.25,1273
2020,1.208926876,1053,1273
2021,1.163088168,1094.5,1273
2022,1.085251492,1173,1273
2023,1.026405967,1240.25,1273
2024,1,1273,1273
