age,life_expectancy
0,83.5
1,82.8
2,81.9
3,80.9
4,79.9
5,78.9
6,77.9
7,76.9
8,75.9
9,74.9
10,73.9
11,72.9
12,71.9
13,71
14,70
15,69
16,68
17,67
18,66
19,65.1
20,64.1
21,63.1
22,62.1
23,61.1
24,60.2
25,59.2
26,58.2
27,57.2
28,56.3
29,55.3
30,54.3
31,53.3
32,52.3
33,51.4
34,50.4
35,49.4
36,48.5
37,47.5
38,46.5
39,45.5
40,44.6
41,43.6
42,42.6
43,41.7
44,40.7
45,39.8
46,38.8
47,37.9
48,36.9
49,36
50,35
51,34.1
52,33.2
53,32.3
54,31.4
55,30.4
56,29.5
57,28.6
58,27.7
59,26.8
60,25.9
61,25.1
62,24.2
63,23.3
64,22.4
65,21.6
66,20.7
67,19.9
68,19
69,18.2
70,17.4
71,16.6
72,15.8
73,15
74,14.2
75,13.5
76,12.8
77,12
78,11.3
79,10.6
80,9.9
81,9.3
82,8.7
83,8.1
84,7.5
85,6.9
86,6.4
87,5.9
88,5.5
89,5.1
90,4.7
91,4.4
92,4
93,3.7
94,3.5
95,3.2
96,3
97,2.8
98,2.6
99,2.4
100,2.3
101,2.1
102,2
103,1.9
104,1.8
105,1.7
